tradeId,orderId,customerID,ISIN,CUSIP,sym,side,qty,px,tradeDate,tradeTS,ccy,venue,instrType,liqBucket,desk,sourceSystem
TRD0000001,ORD0011724,CLT0308,US821ITSDS16,,BBY,SELL,4911.0,96.1378,2025-10-21,2025-10-21 16:36:20,JPY,BATS,BOND,HIGH,FI-IG,OMS_B
TRD0000002,ORD0017339,CLT0279,USOOYHNQ3P83,OOYHNQ3P8,UAQT,SELL,1132.0,99.8245,2025-10-21,2025-10-21 19:42:27,USD,TRACE,OPTION,HIGH,FI-RATES,OMS_B
TRD0000003,ORD0011791,CLT0149,,6BKVR2B88,BCP,BUY,1127.0,108.3281,2025-10-21,2025-10-21 18:30:05,USD,NYSE,BOND,MED,FI-MUNI,OMS_B
TRD0000004,ORD0015799,CLT0067,US1IV3OW2J13,,EFHT,BUY,3445.0,96.8131,2025-10-21,2025-10-21 17:36:06,USD,BATS,BOND,MED,FI-HY,OMS_A
TRD0000005,ORD0018230,CLT0278,USZBLV9FPN86,ZBLV9FPN8,IQYB,SELL,1260.0,92.8548,2025-10-21,2025-10-21 19:23:27,GBP,BATS,OPTION,MED,FI-STRUCT,OMS_A
TRD0000006,ORD0011874,CLT0290,USL89UK84X07,L89UK84X0,CMQ,BUY,2926.0,90.6238,2025-10-21,2025-10-21 14:28:19,USD,BATS,BOND,MED,FI-RATES,OMS_A
TRD0000007,ORD0015331,CLT0061,USJH18MZ4H38,JH18MZ4H3,BBT,BUY,4228.0,104.012,2025-10-21,2025-10-21 18:39:26,USD,OTC,BOND,MED,FI-HY,OMS_A
TRD0000008,ORD0014402,CLT0140,USXOZ3T16M16,XOZ3T16M1,TRL,BUY,3285.0,92.7766,2025-10-21,2025-10-21 13:42:55,EUR,OTC,BOND,MED,FI-RATES,OMS_B
TRD0000009,ORD0018177,CLT0339,US40FJ1P1T90,40FJ1P1T9,CWBV,BUY,910.0,96.6982,2025-10-21,2025-10-21 14:48:36,USD,BATS,REPO,MED,FI-IG,OMS_B
TRD0000010,ORD0012196,CLT0217,,J3AJX3N39,XSE,BUY,1865.0,94.7942,2025-10-21,2025-10-21 17:37:40,GBP,NYSE,OPTION,MED,FI-HY,OMS_B
TRD0000011,ORD0013070,CLT0439,US00LCK5N862,00LCK5N86,EKR,BUY,1615.0,99.9336,2025-10-21,2025-10-21 16:29:07,USD,BATS,BOND,HIGH,FI-MUNI,OMS_B
TRD0000012,ORD0014913,CLT0345,USN9G7FJBL90,N9G7FJBL9,RMXL,BUY,2232.0,99.8488,2025-10-21,2025-10-21 16:54:37,USD,TRACE,BOND,MED,FI-STRUCT,OMS_A
TRD0000013,ORD0006201,CLT0139,USEUD9QCB003,EUD9QCB00,JOCY,BUY,2163.0,102.7309,2025-10-21,2025-10-21 17:19:35,USD,TRACE,REPO,HIGH,FI-HY,OMS_A
TRD0000014,ORD0000700,CLT0470,USHM5U49ST73,HM5U49ST7,KYH,BUY,1369.0,100.5459,2025-10-21,2025-10-21 13:50:12,USD,NYSE,BOND,MED,FI-STRUCT,OMS_B
TRD0000015,ORD0008194,CLT0211,USR7OKNAVG06,R7OKNAVG0,SLHW,BUY,2576.0,91.8499,2025-10-21,2025-10-21 18:45:30,USD,OTC,BOND,,FI-IG,OMS_A
TRD0000016,ORD0006042,CLT0445,US9UUMOKA604,9UUMOKA60,BGYM,BUY,4584.0,98.3772,2025-10-21,2025-10-21 13:51:02,USD,OTC,BOND,MED,FI-STRUCT,OMS_A
TRD0000017,ORD0013005,CLT0256,USHFVRFYPI04,HFVRFYPI0,ZAC,BUY,3435.0,102.48,2025-10-21,2025-10-21 13:45:32,USD,OTC,BOND,HIGH,FI-RATES,OMS_B
TRD0000018,ORD0011040,CLT0108,,OK5HLDNK8,GFU,BUY,1559.0,93.8957,2025-10-21,2025-10-21 19:51:56,EUR,OTC,BOND,LOW,FI-HY,OMS_A
TRD0000019,ORD0005953,CLT0280,USCGGCNB7F01,CGGCNB7F0,SYH,SELL,1440.0,94.8755,2025-10-21,2025-10-21 18:02:36,EUR,ARCA,BOND,MED,FI-RATES,OMS_B
TRD0000021,ORD0000109,CLT0273,USN6UKUUK204,N6UKUUK20,CRIE,BUY,1752.0,104.4184,2025-10-21,2025-10-21 15:27:47,USD,TRACE,BOND,MED,FI-IG,OMS_A
TRD0000022,ORD0004025,CLT0134,US9YIDVHSK50,9YIDVHSK5,WJS,BUY,2012.0,96.9804,2025-10-21,2025-10-21 16:40:44,USD,BATS,,MED,FI-IG,OMS_B
TRD0000023,ORD0011247,CLT0388,,PNT6AKZR7,PYL,SELL,992.0,98.2735,2025-10-21,2025-10-21 13:54:14,EUR,NYSE,BOND,HIGH,FI-MUNI,OMS_A
TRD0000024,ORD0019705,CLT0309,US5RUGTBKG61,5RUGTBKG6,MTW,BUY,1580.0,105.1957,2025-10-21,2025-10-21 16:31:36,USD,NYSE,OPTION,MED,FI-MUNI,OMS_A
TRD0000025,ORD0019147,CLT0149,USE7FGM1D664,E7FGM1D66,SSY,BUY,1227.0,97.8703,2025-10-21,2025-10-21 16:47:29,USD,OTC,BOND,MED,FI-RATES,OMS_B
TRD0000026,ORD0016247,CLT0069,US6GSR8OYL72,6GSR8OYL7,LUY,SELL,3504.0,93.7498,2025-10-21,2025-10-21 15:59:12,USD,ARCA,BOND,HIGH,FI-MUNI,OMS_A
TRD0000027,ORD0001431,CLT0177,USNTSH9S9Q90,NTSH9S9Q9,SKA,SELL,2182.0,100.5273,2025-10-21,2025-10-21 14:52:13,USD,NYSE,REPO,MED,FI-RATES,OMS_A
TRD0000028,ORD0019343,CLT0257,US0Q0H0SH154,,MHR,BUY,1531.0,104.7221,2025-10-21,2025-10-21 19:41:43,USD,OTC,BOND,,FI-STRUCT,OMS_A
TRD0000029,ORD0006067,CLT0368,US9IUTJUCI87,9IUTJUCI8,JLA,BUY,2316.0,102.2325,2025-10-21,2025-10-21 17:58:41,USD,NYSE,BOND,HIGH,FI-MUNI,OMS_A
TRD0000030,ORD0002153,CLT0159,,,FBQO,SELL,937.0,99.4235,2025-10-21,2025-10-21 16:19:53,USD,NYSE,BOND,MED,FI-RATES,OMS_B
