trade_id,order_id,client_id,isin,cusip,symbol,side,quantity,price,trade_date,trade_ts,currency,venue,instrument_type,liquidity_bucket,desk,source_system,risk_tier_x,region_x,notional,symbol_pm,instrument_type_pm,risk_tier_y,region_y,risk_tier,region
TRD0000001,ORD0011724,CLT0308,US821ITSDS16,,BBY,SELL,4911,96.1378,2025-10-21,2025-10-21T16:36:20Z,JPY,BATS,BOND,HIGH,FI-IG,OMS_B,,,472132.73579999997,BBY,BOND,MED,,,
TRD0000002,ORD0017339,CLT0279,USOOYHNQ3P83,OOYHNQ3P8,UAQT,SELL,1132,99.8245,2025-10-21,2025-10-21T19:42:27Z,USD,TRACE,OPTION,HIGH,FI-RATES,OMS_B,,,113001.334,UAQT,OPTION,HIGH,,,
TRD0000003,ORD0011791,CLT0149,,6BKVR2B88,BCP,BUY,1127,108.3281,2025-10-21,2025-10-21T18:30:05Z,USD,NYSE,BOND,MED,FI-MUNI,OMS_B,,,122085.7687,,,LOW,,,
TRD0000004,ORD0015799,CLT0067,US1IV3OW2J13,,EFHT,BUY,3445,96.8131,2025-10-21,2025-10-21T17:36:06Z,USD,BATS,BOND,MED,FI-HY,OMS_A,,,333521.12950000004,EFHT,BOND,LOW,EMEA,,
TRD0000005,ORD0018230,CLT0278,USZBLV9FPN86,ZBLV9FPN8,IQYB,SELL,1260,92.8548,2025-10-21,2025-10-21T19:23:27Z,GBP,BATS,OPTION,MED,FI-STRUCT,OMS_A,,,116997.048,IQYB,OPTION,LOW,,,
TRD0000006,ORD0011874,CLT0290,USL89UK84X07,L89UK84X0,CMQ,BUY,2926,90.6238,2025-10-21,2025-10-21T14:28:19Z,USD,BATS,BOND,MED,FI-RATES,OMS_A,,,265165.2388,CMQ,BOND,MED,,,
TRD0000007,ORD0015331,CLT0061,USJH18MZ4H38,JH18MZ4H3,BBT,BUY,4228,104.012,2025-10-21,2025-10-21T18:39:26Z,USD,OTC,BOND,MED,FI-HY,OMS_A,,,439762.736,BBT,BOND,MED,,,
TRD0000008,ORD0014402,CLT0140,USXOZ3T16M16,XOZ3T16M1,TRL,BUY,3285,92.7766,2025-10-21,2025-10-21T13:42:55Z,EUR,OTC,BOND,MED,FI-RATES,OMS_B,,,304771.131,TRL,BOND,LOW,EMEA,,
TRD0000009,ORD0018177,CLT0339,US40FJ1P1T90,40FJ1P1T9,CWBV,BUY,910,96.6982,2025-10-21,2025-10-21T14:48:36Z,USD,BATS,REPO,MED,FI-IG,OMS_B,,,87995.362,CWBV,REPO,MED,EMEA,,
TRD0000010,ORD0012196,CLT0217,,J3AJX3N39,XSE,BUY,1865,94.7942,2025-10-21,2025-10-21T17:37:40Z,GBP,NYSE,OPTION,MED,FI-HY,OMS_B,,,176791.18300000002,,,LOW,,,
TRD0000011,ORD0013070,CLT0439,US00LCK5N862,00LCK5N86,EKR,BUY,1615,99.9336,2025-10-21,2025-10-21T16:29:07Z,USD,BATS,BOND,HIGH,FI-MUNI,OMS_B,,,161392.764,EKR,BOND,LOW,APAC,,
TRD0000012,ORD0014913,CLT0345,USN9G7FJBL90,N9G7FJBL9,RMXL,BUY,2232,99.8488,2025-10-21,2025-10-21T16:54:37Z,USD,TRACE,BOND,MED,FI-STRUCT,OMS_A,,,222862.5216,RMXL,BOND,MED,,,
TRD0000013,ORD0006201,CLT0139,USEUD9QCB003,EUD9QCB00,JOCY,BUY,2163,102.7309,2025-10-21,2025-10-21T17:19:35Z,USD,TRACE,REPO,HIGH,FI-HY,OMS_A,,,222206.93670000002,JOCY,REPO,LOW,,,
TRD0000015,ORD0008194,CLT0211,USR7OKNAVG06,R7OKNAVG0,SLHW,BUY,2576,91.8499,2025-10-21,2025-10-21T18:45:30Z,USD,OTC,BOND,MED,FI-IG,OMS_A,,,236605.34240000002,SLHW,BOND,LOW,,,
TRD0000016,ORD0006042,CLT0445,US9UUMOKA604,9UUMOKA60,BGYM,BUY,4584,98.3772,2025-10-21,2025-10-21T13:51:02Z,USD,OTC,BOND,MED,FI-STRUCT,OMS_A,,,450961.0848,BGYM,BOND,HIGH,,,
TRD0000017,ORD0013005,CLT0256,USHFVRFYPI04,HFVRFYPI0,ZAC,BUY,3435,102.48,2025-10-21,2025-10-21T13:45:32Z,USD,OTC,BOND,HIGH,FI-RATES,OMS_B,,,352018.8,ZAC,BOND,HIGH,EMEA,,
TRD0000018,ORD0011040,CLT0108,,OK5HLDNK8,GFU,BUY,1559,93.8957,2025-10-21,2025-10-21T19:51:56Z,EUR,OTC,BOND,LOW,FI-HY,OMS_A,,,146383.39630000002,,,LOW,,,
TRD0000019,ORD0005953,CLT0280,USCGGCNB7F01,CGGCNB7F0,SYH,SELL,1440,94.8755,2025-10-21,2025-10-21T18:02:36Z,EUR,ARCA,BOND,MED,FI-RATES,OMS_B,,,136620.72,SYH,BOND,LOW,,,
TRD0000021,ORD0000109,CLT0273,USN6UKUUK204,N6UKUUK20,CRIE,BUY,1752,104.4184,2025-10-21,2025-10-21T15:27:47Z,USD,TRACE,BOND,MED,FI-IG,OMS_A,,,182941.0368,CRIE,BOND,HIGH,EMEA,,
